"11xf -- Kuluttajahintaindeksi (2005=100), kuukausitiedot, 2005M01-2023M02",,
2016M12,01141 Maito,135.17
2016M12,01144 Juustot ja rahkat,115.86
2016M12,01151 Voi,93.36
2016M12,011612 Banaanit,.
2016M12,011613 Omenat,.
2017M01,0111 Viljatuotteet ja leipa,119.71
2017M01,0112 Liha,121.65
2017M01,01141 Maito,134.9
2017M01,01144 Juustot ja rahkat,115.62
2017M01,01151 Voi,94.23
2017M01,011612 Banaanit,.
2017M01,011613 Omenat,.
2017M02,0111 Viljatuotteet ja leipa,119.88
2017M02,0112 Liha,121.95
2017M02,01141 Maito,134.66
2017M02,01144 Juustot ja rahkat,115.43
2017M02,01151 Voi,93.93
2017M02,011612 Banaanit,.
2017M02,011613 Omenat,.
2017M03,0111 Viljatuotteet ja leipa,119.7
2017M03,0112 Liha,121.44
2017M03,01141 Maito,134.13
2017M03,01144 Juustot ja rahkat,115.68
2017M03,01151 Voi,93.91
2017M03,011612 Banaanit,.
2017M03,011613 Omenat,.
2017M04,0111 Viljatuotteet ja leipa,119.74
2017M04,0112 Liha,121.45
2017M04,01141 Maito,134.02
2017M04,01144 Juustot ja rahkat,115.87
2017M04,01151 Voi,93.57
2017M04,011612 Banaanit,.
2017M04,011613 Omenat,.
2017M05,0111 Viljatuotteet ja leipa,120.21
2017M05,0112 Liha,120.84
2017M05,01141 Maito,134.86
2017M05,01144 Juustot ja rahkat,118.03
2017M05,01151 Voi,97.48
2017M05,011612 Banaanit,.
2017M05,011613 Omenat,.
2017M06,0111 Viljatuotteet ja leipa,120
2017M06,0112 Liha,120.8
2017M06,01141 Maito,134.89
2017M06,01144 Juustot ja rahkat,118.2
2017M06,01151 Voi,97.66
2017M06,011612 Banaanit,.
2017M06,011613 Omenat,.
2017M07,0111 Viljatuotteet ja leipa,119.98
2017M07,0112 Liha,120.58
2017M07,01141 Maito,134.49
2017M07,01144 Juustot ja rahkat,118.46
2017M07,01151 Voi,96.93
2017M07,011612 Banaanit,.
2017M07,011613 Omenat,.
2017M08,0111 Viljatuotteet ja leipa,120.12
2017M08,0112 Liha,121.05
2017M08,01141 Maito,134.83
2017M08,01144 Juustot ja rahkat,118.34
2017M08,01151 Voi,97.21
2017M08,011612 Banaanit,.
2017M08,011613 Omenat,.
2017M09,0111 Viljatuotteet ja leipa,120.06
2017M09,0112 Liha,121.75
2017M09,01141 Maito,134.72
2017M09,01144 Juustot ja rahkat,117.52
2017M09,01151 Voi,97.63
2017M09,011612 Banaanit,.
2017M09,011613 Omenat,.
2017M10,0111 Viljatuotteet ja leipa,120.22
2017M10,0112 Liha,121.86
2017M10,01141 Maito,134.86
2017M10,01144 Juustot ja rahkat,117.42
2017M10,01151 Voi,97.62
2017M10,011612 Banaanit,.
2017M10,011613 Omenat,.
2017M11,0111 Viljatuotteet ja leipa,120.2
2017M11,0112 Liha,121.73
2017M11,01141 Maito,135.41
2017M11,01144 Juustot ja rahkat,117.24
2017M11,01151 Voi,97.96
2017M11,011612 Banaanit,.
2017M11,011613 Omenat,.
2017M12,0111 Viljatuotteet ja leipa,120.23
2017M12,0112 Liha,121.98
2017M12,01141 Maito,135.11
2017M12,01144 Juustot ja rahkat,117.33
2017M12,01151 Voi,98.35
2017M12,011612 Banaanit,.
2017M12,011613 Omenat,.
2018M01,0111 Viljatuotteet ja leipa,120.14
2018M01,0112 Liha,122.29
2018M01,01141 Maito,135.36
2018M01,01144 Juustot ja rahkat,117.8
2018M01,01151 Voi,98.66
2018M01,011612 Banaanit,.
2018M01,011613 Omenat,.
2018M02,0111 Viljatuotteet ja leipa,120.16
2018M02,0112 Liha,123.12
2018M02,01141 Maito,136.24
2018M02,01144 Juustot ja rahkat,120.23
2018M02,01151 Voi,105.94
2018M02,011612 Banaanit,.
2018M02,011613 Omenat,.
2018M03,0111 Viljatuotteet ja leipa,120.47
2018M03,0112 Liha,123.13
2018M03,01141 Maito,136.48
2018M03,01144 Juustot ja rahkat,119.68
2018M03,01151 Voi,106.01
2018M03,011612 Banaanit,.
2018M03,011613 Omenat,.
2018M04,0111 Viljatuotteet ja leipa,120.53
2018M04,0112 Liha,123.12
2018M04,01141 Maito,136.53
2018M04,01144 Juustot ja rahkat,120.34
2018M04,01151 Voi,105.52
2018M04,011612 Banaanit,.
2018M04,011613 Omenat,.
2018M05,0111 Viljatuotteet ja leipa,120.26
2018M05,0112 Liha,122.46
2018M05,01141 Maito,136.26
2018M05,01144 Juustot ja rahkat,120.23
2018M05,01151 Voi,105.55
2018M05,011612 Banaanit,.
2018M05,011613 Omenat,.
2018M06,0111 Viljatuotteet ja leipa,120.32
2018M06,0112 Liha,122.64
2018M06,01141 Maito,136.18
2018M06,01144 Juustot ja rahkat,120.27
2018M06,01151 Voi,105.49
2018M06,011612 Banaanit,.
2018M06,011613 Omenat,.
2018M07,0111 Viljatuotteet ja leipa,120.38
2018M07,0112 Liha,122.91
2018M07,01141 Maito,136.2
2018M07,01144 Juustot ja rahkat,120.48
2018M07,01151 Voi,106.23
2018M07,011612 Banaanit,.
2018M07,011613 Omenat,.
2018M08,0111 Viljatuotteet ja leipa,120.51
2018M08,0112 Liha,123.25
2018M08,01141 Maito,136.25
2018M08,01144 Juustot ja rahkat,120.46
2018M08,01151 Voi,106.44
2018M08,011612 Banaanit,.
2018M08,011613 Omenat,.
2018M09,0111 Viljatuotteet ja leipa,120.62
2018M09,0112 Liha,124.15
2018M09,01141 Maito,136.21
2018M09,01144 Juustot ja rahkat,120.49
2018M09,01151 Voi,108.18
2018M09,011612 Banaanit,.
2018M09,011613 Omenat,.
2018M10,0111 Viljatuotteet ja leipa,120.73
2018M10,0112 Liha,123.88
2018M10,01141 Maito,136.13
2018M10,01144 Juustot ja rahkat,120.49
2018M10,01151 Voi,108.41
2018M10,011612 Banaanit,.
2018M10,011613 Omenat,.
2018M11,0111 Viljatuotteet ja leipa,120.85
2018M11,0112 Liha,124.67
2018M11,01141 Maito,135.4
2018M11,01144 Juustot ja rahkat,120.31
2018M11,01151 Voi,109.23
2018M11,011612 Banaanit,.
2018M11,011613 Omenat,.
2018M12,0111 Viljatuotteet ja leipa,120.95
2018M12,0112 Liha,124.62
2018M12,01141 Maito,135.9
2018M12,01144 Juustot ja rahkat,120.2
2018M12,01151 Voi,109.52
2018M12,011612 Banaanit,.
2018M12,011613 Omenat,.
2019M01,0111 Viljatuotteet ja leipa,121.21
2019M01,0112 Liha,125.49
2019M01,01141 Maito,135.93
2019M01,01144 Juustot ja rahkat,120.8
2019M01,01151 Voi,109.72
2019M01,011612 Banaanit,.
2019M01,011613 Omenat,.
2019M02,0111 Viljatuotteet ja leipa,122.45
2019M02,0112 Liha,128.49
2019M02,01141 Maito,136.06
2019M02,01144 Juustot ja rahkat,123.69
2019M02,01151 Voi,112.94
2019M02,011612 Banaanit,.
2019M02,011613 Omenat,.
2019M03,0111 Viljatuotteet ja leipa,122.46
2019M03,0112 Liha,128.5
2019M03,01141 Maito,135.91
2019M03,01144 Juustot ja rahkat,123.57
2019M03,01151 Voi,111.77
2019M03,011612 Banaanit,.
2019M03,011613 Omenat,.
2019M04,0111 Viljatuotteet ja leipa,122.68
2019M04,0112 Liha,128.2
2019M04,01141 Maito,135.75
2019M04,01144 Juustot ja rahkat,123.47
2019M04,01151 Voi,112.95
2019M04,011612 Banaanit,.
2019M04,011613 Omenat,.
2019M05,0111 Viljatuotteet ja leipa,122.91
2019M05,0112 Liha,128.39
2019M05,01141 Maito,135.9
2019M05,01144 Juustot ja rahkat,123.36
2019M05,01151 Voi,112.84
2019M05,011612 Banaanit,.
2019M05,011613 Omenat,.
2019M06,0111 Viljatuotteet ja leipa,123.09
2019M06,0112 Liha,129.08
2019M06,01141 Maito,135.67
2019M06,01144 Juustot ja rahkat,123.52
2019M06,01151 Voi,113
2019M06,011612 Banaanit,.
2019M06,011613 Omenat,.
2019M07,0111 Viljatuotteet ja leipa,123.21
2019M07,0112 Liha,129.49
2019M07,01141 Maito,136.02
2019M07,01144 Juustot ja rahkat,123.51
2019M07,01151 Voi,112.93
2019M07,011612 Banaanit,.
2019M07,011613 Omenat,.
2019M08,0111 Viljatuotteet ja leipa,123.22
2019M08,0112 Liha,129.29
2019M08,01141 Maito,136.09
2019M08,01144 Juustot ja rahkat,123.64
2019M08,01151 Voi,112.94
2019M08,011612 Banaanit,.
2019M08,011613 Omenat,.
2019M09,0111 Viljatuotteet ja leipa,123.15
2019M09,0112 Liha,129.53
2019M09,01141 Maito,136.1
2019M09,01144 Juustot ja rahkat,122.08
2019M09,01151 Voi,113.23
2019M09,011612 Banaanit,.
2019M09,011613 Omenat,.
2019M10,0111 Viljatuotteet ja leipa,123.2
2019M10,0112 Liha,129.57
2019M10,01141 Maito,136.21
2019M10,01144 Juustot ja rahkat,122.2
2019M10,01151 Voi,113.15
2019M10,011612 Banaanit,.
2019M10,011613 Omenat,.
2019M11,0111 Viljatuotteet ja leipa,123.24
2019M11,0112 Liha,129.89
2019M11,01141 Maito,135.95
2019M11,01144 Juustot ja rahkat,122.28
2019M11,01151 Voi,113.04
2019M11,011612 Banaanit,.
2019M11,011613 Omenat,.
2019M12,0111 Viljatuotteet ja leipa,123.04
2019M12,0112 Liha,129.37
2019M12,01141 Maito,135.72
2019M12,01144 Juustot ja rahkat,121.4
2019M12,01151 Voi,113.36
2019M12,011612 Banaanit,.
2019M12,011613 Omenat,.
2020M01,0111 Viljatuotteet ja leipa,123.16
2020M01,0112 Liha,128.57
2020M01,01141 Maito,136.36
2020M01,01144 Juustot ja rahkat,121.83
2020M01,01151 Voi,113.39
2020M01,011612 Banaanit,.
2020M01,011613 Omenat,.
2020M02,0111 Viljatuotteet ja leipa,123.55
2020M02,0112 Liha,130.41
2020M02,01141 Maito,136.49
2020M02,01144 Juustot ja rahkat,121.99
2020M02,01151 Voi,111.7
2020M02,011612 Banaanit,.
2020M02,011613 Omenat,.
2020M03,0111 Viljatuotteet ja leipa,123.74
2020M03,0112 Liha,131.64
2020M03,01141 Maito,136.48
2020M03,01144 Juustot ja rahkat,122.88
2020M03,01151 Voi,111.62
2020M03,011612 Banaanit,.
2020M03,011613 Omenat,.
2020M04,0111 Viljatuotteet ja leipa,123.72
2020M04,0112 Liha,129.98
2020M04,01141 Maito,135.57
2020M04,01144 Juustot ja rahkat,122.74
2020M04,01151 Voi,111.71
2020M04,011612 Banaanit,.
2020M04,011613 Omenat,.
2020M05,0111 Viljatuotteet ja leipa,124.39
2020M05,0112 Liha,131.41
2020M05,01141 Maito,136.32
2020M05,01144 Juustot ja rahkat,122.65
2020M05,01151 Voi,111.74
2020M05,011612 Banaanit,.
2020M05,011613 Omenat,.
2020M06,0111 Viljatuotteet ja leipa,124.01
2020M06,0112 Liha,131.99
2020M06,01141 Maito,136.02
2020M06,01144 Juustot ja rahkat,122.64
2020M06,01151 Voi,111.69
2020M06,011612 Banaanit,.
2020M06,011613 Omenat,.
2020M07,0111 Viljatuotteet ja leipa,123.92
2020M07,0112 Liha,132.66
2020M07,01141 Maito,136.17
2020M07,01144 Juustot ja rahkat,122.39
2020M07,01151 Voi,111.84
2020M07,011612 Banaanit,.
2020M07,011613 Omenat,.
2020M08,0111 Viljatuotteet ja leipa,123.32
2020M08,0112 Liha,132.35
2020M08,01141 Maito,136.29
2020M08,01144 Juustot ja rahkat,122.33
2020M08,01151 Voi,111.46
2020M08,011612 Banaanit,.
2020M08,011613 Omenat,.
2020M09,0111 Viljatuotteet ja leipa,124.06
2020M09,0112 Liha,131.93
2020M09,01141 Maito,136.57
2020M09,01144 Juustot ja rahkat,121.86
2020M09,01151 Voi,111.49
2020M09,011612 Banaanit,.
2020M09,011613 Omenat,.
2020M10,0111 Viljatuotteet ja leipa,123.77
2020M10,0112 Liha,132.72
2020M10,01141 Maito,136.54
2020M10,01144 Juustot ja rahkat,121.94
2020M10,01151 Voi,111.36
2020M10,011612 Banaanit,.
2020M10,011613 Omenat,.
2020M11,0111 Viljatuotteet ja leipa,123.41
2020M11,0112 Liha,131.54
2020M11,01141 Maito,136.16
2020M11,01144 Juustot ja rahkat,121.77
2020M11,01151 Voi,111.26
2020M11,011612 Banaanit,.
2020M11,011613 Omenat,.
2020M12,0111 Viljatuotteet ja leipa,123.5
2020M12,0112 Liha,131.47
2020M12,01141 Maito,135.89
2020M12,01144 Juustot ja rahkat,121.11
2020M12,01151 Voi,111.17
2020M12,011612 Banaanit,.
2020M12,011613 Omenat,.
2021M01,0111 Viljatuotteet ja leipa,123.78
2021M01,0112 Liha,131.25
2021M01,01141 Maito,136.39
2021M01,01144 Juustot ja rahkat,120.36
2021M01,01151 Voi,112.04
2021M01,011612 Banaanit,.
2021M01,011613 Omenat,.
2021M02,0111 Viljatuotteet ja leipa,123.51
2021M02,0112 Liha,131.81
2021M02,01141 Maito,136.29
2021M02,01144 Juustot ja rahkat,121.05
2021M02,01151 Voi,110.59
2021M02,011612 Banaanit,.
2021M02,011613 Omenat,.
2021M03,0111 Viljatuotteet ja leipa,124.26
2021M03,0112 Liha,132.64
2021M03,01141 Maito,136.44
2021M03,01144 Juustot ja rahkat,121.42
2021M03,01151 Voi,111.29
2021M03,011612 Banaanit,.
2021M03,011613 Omenat,.
2021M04,0111 Viljatuotteet ja leipa,124.53
2021M04,0112 Liha,131.62
2021M04,01141 Maito,135.71
2021M04,01144 Juustot ja rahkat,121.1
2021M04,01151 Voi,111.15
2021M04,011612 Banaanit,.
2021M04,011613 Omenat,.
2021M05,0111 Viljatuotteet ja leipa,124.85
2021M05,0112 Liha,131.45
2021M05,01141 Maito,136.39
2021M05,01144 Juustot ja rahkat,120.54
2021M05,01151 Voi,111.06
2021M05,011612 Banaanit,.
2021M05,011613 Omenat,.
2021M06,0111 Viljatuotteet ja leipa,124.89
2021M06,0112 Liha,131.77
2021M06,01141 Maito,136.38
2021M06,01144 Juustot ja rahkat,121.15
2021M06,01151 Voi,111.2
2021M06,011612 Banaanit,.
2021M06,011613 Omenat,.
2021M07,0111 Viljatuotteet ja leipa,125.15
2021M07,0112 Liha,131.78
2021M07,01141 Maito,136.53
2021M07,01144 Juustot ja rahkat,121.02
2021M07,01151 Voi,111.65
2021M07,011612 Banaanit,.
2021M07,011613 Omenat,.
2021M08,0111 Viljatuotteet ja leipa,124.95
2021M08,0112 Liha,132.09
2021M08,01141 Maito,136.84
2021M08,01144 Juustot ja rahkat,121.14
2021M08,01151 Voi,111.2
2021M08,011612 Banaanit,.
2021M08,011613 Omenat,.
2021M09,0111 Viljatuotteet ja leipa,125.03
2021M09,0112 Liha,132.39
2021M09,01141 Maito,136.94
2021M09,01144 Juustot ja rahkat,122.11
2021M09,01151 Voi,110.45
2021M09,011612 Banaanit,.
2021M09,011613 Omenat,.
2021M10,0111 Viljatuotteet ja leipa,124.89
2021M10,0112 Liha,133.18
2021M10,01141 Maito,136.94
2021M10,01144 Juustot ja rahkat,121.81
2021M10,01151 Voi,111.43
2021M10,011612 Banaanit,.
2021M10,011613 Omenat,.
2021M11,0111 Viljatuotteet ja leipa,125.12
2021M11,0112 Liha,132.86
2021M11,01141 Maito,136.95
2021M11,01144 Juustot ja rahkat,121.79
2021M11,01151 Voi,110.75
2021M11,011612 Banaanit,.
2021M11,011613 Omenat,.
2021M12,0111 Viljatuotteet ja leipa,125.05
2021M12,0112 Liha,132.46
2021M12,01141 Maito,136.9
2021M12,01144 Juustot ja rahkat,121.83
2021M12,01151 Voi,110.86
2021M12,011612 Banaanit,.
2021M12,011613 Omenat,.
2022M01,0111 Viljatuotteet ja leipa,125.59
2022M01,0112 Liha,133.34
2022M01,01141 Maito,136.55
2022M01,01144 Juustot ja rahkat,121.98
2022M01,01151 Voi,112
2022M01,011612 Banaanit,.
2022M01,011613 Omenat,.
2022M02,0111 Viljatuotteet ja leipa,127.38
2022M02,0112 Liha,135.66
2022M02,01141 Maito,137.35
2022M02,01144 Juustot ja rahkat,124.52
2022M02,01151 Voi,115.16
2022M02,011612 Banaanit,.
2022M02,011613 Omenat,.
2022M03,0111 Viljatuotteet ja leipa,128.37
2022M03,0112 Liha,135.77
2022M03,01141 Maito,137.88
2022M03,01144 Juustot ja rahkat,124.99
2022M03,01151 Voi,115.23
2022M03,011612 Banaanit,.
2022M03,011613 Omenat,.
2022M04,0111 Viljatuotteet ja leipa,130.17
2022M04,0112 Liha,138.07
2022M04,01141 Maito,138.73
2022M04,01144 Juustot ja rahkat,126.9
2022M04,01151 Voi,116.18
2022M04,011612 Banaanit,.
2022M04,011613 Omenat,.
2022M05,0111 Viljatuotteet ja leipa,132.93
2022M05,0112 Liha,147.35
2022M05,01141 Maito,146.12
2022M05,01144 Juustot ja rahkat,134.04
2022M05,01151 Voi,119.29
2022M05,011612 Banaanit,.
2022M05,011613 Omenat,.
2022M06,0111 Viljatuotteet ja leipa,134.77
2022M06,0112 Liha,153.37
2022M06,01141 Maito,152.22
2022M06,01144 Juustot ja rahkat,137.36
2022M06,01151 Voi,123.47
2022M06,011612 Banaanit,.
2022M06,011613 Omenat,.
2022M07,0111 Viljatuotteet ja leipa,138.48
2022M07,0112 Liha,153.71
2022M07,01141 Maito,152.18
2022M07,01144 Juustot ja rahkat,144.45
2022M07,01151 Voi,126.67
2022M07,011612 Banaanit,.
2022M07,011613 Omenat,.
2022M08,0111 Viljatuotteet ja leipa,139.66
2022M08,0112 Liha,154.23
2022M08,01141 Maito,152.97
2022M08,01144 Juustot ja rahkat,145.58
2022M08,01151 Voi,127.96
2022M08,011612 Banaanit,.
2022M08,011613 Omenat,.
2022M09,0111 Viljatuotteet ja leipa,145.36
2022M09,0112 Liha,161.47
2022M09,01141 Maito,154.83
2022M09,01144 Juustot ja rahkat,149.66
2022M09,01151 Voi,134.71
2022M09,011612 Banaanit,.
2022M09,011613 Omenat,.
2022M10,0111 Viljatuotteet ja leipa,146.23
2022M10,0112 Liha,162.62
2022M10,01141 Maito,159.38
2022M10,01144 Juustot ja rahkat,149.71
2022M10,01151 Voi,133.55
2022M10,011612 Banaanit,.
2022M10,011613 Omenat,.
2022M11,0111 Viljatuotteet ja leipa,145.94
2022M11,0112 Liha,161.64
2022M11,01141 Maito,161.78
2022M11,01144 Juustot ja rahkat,150.91
2022M11,01151 Voi,139.7
2022M11,011612 Banaanit,.
2022M11,011613 Omenat,.
2022M12,0111 Viljatuotteet ja leipa,146.19
2022M12,0112 Liha,159.91
2022M12,01141 Maito,161.76
2022M12,01144 Juustot ja rahkat,149.75
2022M12,01151 Voi,138.51
2022M12,011612 Banaanit,.
2022M12,011613 Omenat,.
2023M01,0111 Viljatuotteet ja leipa,147.46
2023M01,0112 Liha,159.95
2023M01,01141 Maito,162.76
2023M01,01144 Juustot ja rahkat,150.39
2023M01,01151 Voi,141.68
2023M01,011612 Banaanit,.
2023M01,011613 Omenat,.
2023M02,0111 Viljatuotteet ja leipa,150.32
2023M02,0112 Liha,164.35
2023M02,01141 Maito,165.83
2023M02,01144 Juustot ja rahkat,155.2
2023M02,01151 Voi,143.93
2023M02,011612 Banaanit,.
2023M02,011613 Omenat,.
